player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Dušan Švento,Slovakia,FC Köln,"['Left Center Midfield', 'Left Wing']",7.0,233.0,5.0,2.0,"['Left Center Midfield', 'Right Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Left Wing Back']"
Edgar Prib,Germany,Hannover 96,Left Center Midfield,20.0,1340.0,4.0,7.0,"['Right Wing', 'Left Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Midfield']"
Eduardo Jesús Vargas Rojas,Chile,Hoffenheim,Center Forward,24.0,1523.0,8.0,11.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Elias Kachunga,"Congo, (Kinshasa)",Ingolstadt,Center Forward,10.0,296.0,7.0,3.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Forward', 'Left Wing']"
Elkin Soto Jaramillo,Colombia,FSV Mainz 05,Center Forward,1.0,0.0,1.0,0.0,['Center Forward']
Emiliano Adrián Insúa Zapata,Argentina,VfB Stuttgart,Left Back,33.0,2931.0,0.0,3.0,"['Left Wing Back', 'Left Back', 'Left Center Back']"
Emir Spahić,Bosnia and Herzegovina,Hamburger SV,Left Center Back,26.0,2278.0,0.0,1.0,"['Right Defensive Midfield', 'Left Center Back']"
Eric Oelschlägel,Germany,Werder Bremen,0,0.0,0.0,0.0,0.0,[]
Erik Durm,Germany,Borussia Dortmund,Left Back,14.0,871.0,4.0,3.0,"['Right Wing', 'Left Back', 'Right Back', 'Right Wing Back', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back']"
Erik Thommy,Germany,Augsburg,0,0.0,0.0,0.0,0.0,[]
Ermin Bičakčić,Bosnia and Herzegovina,Hoffenheim,Left Center Back,21.0,1630.0,3.0,2.0,"['Left Center Midfield', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back']"
Eugen Polanski,Poland,Hoffenheim,Left Defensive Midfield,27.0,1779.0,7.0,7.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Fabian Frei,Switzerland,FSV Mainz 05,Left Defensive Midfield,18.0,983.0,7.0,4.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Fabian Giefer,Germany,Schalke 04,0,0.0,0.0,0.0,0.0,[]
Fabian Holland,Germany,Darmstadt 98,Left Back,18.0,1443.0,2.0,3.0,"['Left Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Right Midfield', 'Left Center Back']"
