player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Marvin Plattenhardt,881,78,355,361,165,1,31,12,19,2,6,0,322,18,3,0,2146.8072262569267,183,1646.6369862308711,2,0,23,0,3,9,11,0,64,57,0,881,78,355,361,165,1,31,12,19,2,6,0,322,18,3,0,2146.8072262569267,183,1646.6369862308711,2,0,23,0,3,9,11,0,64,57,0,0.08853575482406356,0.4029511918274688,0.4097616345062429,0.1872871736662883,0.0011350737797956867,0.890625,0.3870967741935484,6.667103187133312,0.055900621118012424,0.009316770186335404,0.0,8.998016318201481,0.07142857142857142
Marvin Schulz,106,19,63,36,7,1,0,0,0,0,0,0,31,2,1,0,277.23451382897883,18,193.43111432967865,2,0,3,1,1,1,1,1,3,3,0,106,19,63,36,7,1,0,0,0,0,0,0,31,2,1,0,277.23451382897883,18,193.43111432967865,2,0,3,1,1,1,1,1,3,3,0,0.1792452830188679,0.5943396226415094,0.33962264150943394,0.0660377358490566,0.009433962264150943,1.0,,8.943048833192865,0.06451612903225806,0.03225806451612903,0.0,10.746173018315481,0.0967741935483871
Marvin Wanitzek,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,9.312270800159045,2,4.503944688090513,1,0,0,0,0,0,0,0,2,2,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,9.312270800159045,2,4.503944688090513,1,0,0,0,0,0,0,0,2,2,0,0.0,0.0,1.0,0.0,0.0,1.0,,3.1040902667196817,0.0,0.0,0.0,2.2519723440452566,0.0
Marwin Hitz,228,205,227,0,1,1,0,0,0,0,0,0,95,0,0,0,635.2594207969408,75,539.5618241342768,0,0,0,0,0,0,0,0,38,38,0,228,205,227,0,1,1,0,0,0,0,0,0,95,0,0,0,635.2594207969408,75,539.5618241342768,0,0,0,0,0,0,0,0,38,38,0,0.8991228070175439,0.9956140350877193,0.0,0.0043859649122807015,0.0043859649122807015,1.0,,6.686941271546746,0.0,0.0,0.0,7.19415765512369,0.0
Mathew Leckie,1616,21,147,676,793,93,121,63,58,6,14,2,560,42,17,2,4594.3825029286745,322,3242.094142521271,40,11,82,0,4,34,44,6,148,139,0,1616,21,147,676,793,93,121,63,58,6,14,2,560,42,17,2,4594.3825029286745,322,3242.094142521271,40,11,82,0,4,34,44,6,148,139,0,0.012995049504950494,0.09096534653465346,0.4183168316831683,0.4907178217821782,0.05754950495049505,0.9391891891891891,0.5206611570247934,8.20425446951549,0.075,0.030357142857142857,0.0035714285714285713,10.06861534944494,0.14642857142857144
Mats Hummels,1050,100,441,533,76,29,18,10,8,1,0,0,362,23,4,0,3082.4436259639488,247,2534.2384545125897,5,1,11,0,5,3,3,1,26,24,0,1050,100,441,533,76,29,18,10,8,1,0,0,362,23,4,0,3082.4436259639488,247,2534.2384545125897,5,1,11,0,5,3,3,1,26,24,0,0.09523809523809523,0.42,0.5076190476190476,0.07238095238095238,0.02761904761904762,0.9230769230769231,0.5555555555555556,8.515037640784389,0.06353591160220995,0.011049723756906077,0.0,10.260074714625869,0.03038674033149171
Matthias Ginter,750,38,173,371,206,28,18,11,7,1,1,0,252,12,1,1,1181.0946337975247,134,745.5295135751301,4,0,10,0,3,1,6,0,72,68,0,750,38,173,371,206,28,18,11,7,1,1,0,252,12,1,1,1181.0946337975247,134,745.5295135751301,4,0,10,0,3,1,6,0,72,68,0,0.050666666666666665,0.23066666666666666,0.49466666666666664,0.27466666666666667,0.037333333333333336,0.9444444444444444,0.6111111111111112,4.686883467450495,0.047619047619047616,0.003968253968253968,0.003968253968253968,5.563653086381568,0.03968253968253968
Matthias Lehmann,675,37,222,373,80,3,7,5,2,0,0,0,194,8,0,0,940.475301623227,115,692.240753407892,1,0,10,0,5,4,1,0,77,75,0,675,37,222,373,80,3,7,5,2,0,0,0,194,8,0,0,940.475301623227,115,692.240753407892,1,0,10,0,5,4,1,0,77,75,0,0.054814814814814816,0.3288888888888889,0.5525925925925926,0.11851851851851852,0.0044444444444444444,0.974025974025974,0.7142857142857143,4.847810833109418,0.041237113402061855,0.0,0.0,6.019484812242539,0.05154639175257732
Matthias Ostrzolek,1181,90,500,463,218,15,41,22,19,2,2,1,451,20,6,0,3270.058639295129,248,2220.429085293964,9,0,28,2,8,10,10,1,64,61,0,1181,90,500,463,218,15,41,22,19,2,2,1,451,20,6,0,3270.058639295129,248,2220.429085293964,9,0,28,2,8,10,10,1,64,61,0,0.07620660457239628,0.42337002540220153,0.3920406435224386,0.18458933107535985,0.012701100762066046,0.953125,0.5365853658536586,7.250684344335098,0.04434589800443459,0.013303769401330377,0.0,8.953343085862757,0.06208425720620843
Matthias Zimmermann,39,10,15,18,6,0,3,2,1,0,0,0,12,1,0,0,115.51406888728114,10,102.4298915520983,0,0,1,0,0,1,0,0,2,2,0,39,10,15,18,6,0,3,2,1,0,0,0,12,1,0,0,115.51406888728114,10,102.4298915520983,0,0,1,0,0,1,0,0,2,2,0,0.2564102564102564,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.0,1.0,0.6666666666666666,9.626172407273428,0.08333333333333333,0.0,0.0,10.24298915520983,0.08333333333333333
Maurice Multhaup,41,0,4,18,19,2,0,0,0,0,0,0,16,1,0,0,119.85817195555023,6,66.54093326726176,0,0,2,0,0,2,0,0,5,5,0,41,0,4,18,19,2,0,0,0,0,0,0,16,1,0,0,119.85817195555023,6,66.54093326726176,0,0,2,0,0,2,0,0,5,5,0,0.0,0.0975609756097561,0.43902439024390244,0.4634146341463415,0.04878048780487805,1.0,,7.49113574722189,0.0625,0.0,0.0,11.090155544543627,0.125
Max Christiansen,516,19,90,257,169,6,13,5,8,2,2,0,185,10,3,1,1297.9948140113263,102,784.1955952945112,10,3,14,0,0,10,4,0,48,47,0,516,19,90,257,169,6,13,5,8,2,2,0,185,10,3,1,1297.9948140113263,102,784.1955952945112,10,3,14,0,0,10,4,0,48,47,0,0.03682170542635659,0.1744186046511628,0.49806201550387597,0.32751937984496127,0.011627906976744186,0.9791666666666666,0.38461538461538464,7.016188183845007,0.05405405405405406,0.016216216216216217,0.005405405405405406,7.688192110730502,0.07567567567567568
Max Kruse,1208,5,77,627,504,79,54,33,21,1,0,0,488,27,14,3,3448.4461169568885,214,1853.7050736171536,18,3,45,0,3,18,24,2,198,190,0,1208,5,77,627,504,79,54,33,21,1,0,0,488,27,14,3,3448.4461169568885,214,1853.7050736171536,18,3,45,0,3,18,24,2,198,190,0,0.0041390728476821195,0.06374172185430464,0.5190397350993378,0.41721854304635764,0.06539735099337748,0.9595959595959596,0.6111111111111112,7.066487944583788,0.055327868852459015,0.028688524590163935,0.006147540983606557,8.662173241201652,0.09221311475409837
Max Meyer,1297,2,146,602,549,76,59,36,23,3,3,0,579,28,15,4,3841.5328321950083,333,2864.9682523665674,15,1,65,0,4,30,31,3,169,165,0,1297,2,146,602,549,76,59,36,23,3,3,0,579,28,15,4,3841.5328321950083,333,2864.9682523665674,15,1,65,0,4,30,31,3,169,165,0,0.0015420200462606013,0.1125674633770239,0.46414803392444104,0.42328450269853507,0.058596761757902856,0.9763313609467456,0.6101694915254238,6.63477173090675,0.04835924006908463,0.025906735751295335,0.0069084628670120895,8.603508265365067,0.11226252158894647
Maximilian Arnold,1103,27,198,676,229,14,16,13,3,1,0,0,451,20,3,1,2802.627117977374,249,1820.0715861935348,9,2,42,0,5,26,11,1,131,129,0,1103,27,198,676,229,14,16,13,3,1,0,0,451,20,3,1,2802.627117977374,249,1820.0715861935348,9,2,42,0,5,26,11,1,131,129,0,0.024478694469628286,0.17951042611060744,0.6128739800543971,0.20761559383499548,0.012692656391659111,0.9847328244274809,0.8125,6.214250815914355,0.04434589800443459,0.0066518847006651885,0.0022172949002217295,7.309524442544316,0.09312638580931264
Maximilian Beister,6,0,1,3,2,0,0,0,0,0,0,0,3,0,0,0,44.537087146507744,3,44.53708714650775,0,0,1,0,0,0,1,0,0,0,0,6,0,1,3,2,0,0,0,0,0,0,0,3,0,0,0,44.537087146507744,3,44.53708714650775,0,0,1,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,,,14.84569571550258,0.0,0.0,0.0,14.845695715502584,0.3333333333333333
Maximilian Eggestein,87,0,7,36,44,9,1,1,0,0,0,0,34,1,2,0,191.0154663914031,20,122.87040558435345,1,0,4,0,0,2,2,0,8,8,0,87,0,7,36,44,9,1,1,0,0,0,0,34,1,2,0,191.0154663914031,20,122.87040558435345,1,0,4,0,0,2,2,0,8,8,0,0.0,0.08045977011494253,0.41379310344827586,0.5057471264367817,0.10344827586206896,1.0,1.0,5.618101952688327,0.029411764705882353,0.058823529411764705,0.0,6.143520279217673,0.11764705882352941
Maximilian Mittelstädt,59,2,13,29,17,3,2,0,2,1,0,0,26,0,0,0,147.0218418281082,8,45.105196524886196,0,0,2,0,1,0,1,1,2,2,0,59,2,13,29,17,3,2,0,2,1,0,0,26,0,0,0,147.0218418281082,8,45.105196524886196,0,0,2,0,1,0,1,1,2,2,0,0.03389830508474576,0.22033898305084745,0.4915254237288136,0.288135593220339,0.05084745762711865,1.0,0.0,5.654686224158008,0.0,0.0,0.0,5.6381495656107745,0.07692307692307693
Medhi Amine El Mouttaqi Benatia,293,27,115,148,30,15,4,4,0,0,0,0,88,4,0,0,706.6089350990352,48,443.35328676556287,2,1,0,0,0,0,0,0,9,9,0,293,27,115,148,30,15,4,4,0,0,0,0,88,4,0,0,706.6089350990352,48,443.35328676556287,2,1,0,0,0,0,0,0,9,9,0,0.09215017064846416,0.3924914675767918,0.5051194539249146,0.10238907849829351,0.051194539249146756,1.0,1.0,8.029646989761764,0.045454545454545456,0.0,0.0,9.236526807615894,0.0
Melvyn Lorenzen,83,1,16,34,33,1,9,3,6,0,0,0,32,2,0,0,236.06765504686703,23,183.7296511725604,3,0,6,0,0,1,5,0,12,12,0,83,1,16,34,33,1,9,3,6,0,0,0,32,2,0,0,236.06765504686703,23,183.7296511725604,3,0,6,0,0,1,5,0,12,12,0,0.012048192771084338,0.1927710843373494,0.40963855421686746,0.39759036144578314,0.012048192771084338,1.0,0.3333333333333333,7.377114220214595,0.0625,0.0,0.0,7.9882457031548,0.1875
Mevlüt Erdinç,141,6,10,46,85,13,10,3,7,1,2,0,43,1,6,0,326.3605069163506,24,204.11636607793125,3,0,8,0,0,2,6,4,27,25,0,141,6,10,46,85,13,10,3,7,1,2,0,43,1,6,0,326.3605069163506,24,204.11636607793125,3,0,8,0,0,2,6,4,27,25,0,0.0425531914893617,0.07092198581560284,0.3262411347517731,0.6028368794326241,0.09219858156028368,0.9259259259259259,0.3,7.5897792306128045,0.023255813953488372,0.13953488372093023,0.0,8.504848586580469,0.18604651162790697
Michael Gregoritsch,721,28,102,373,246,43,21,9,12,3,0,0,209,11,5,1,1299.4973769828837,111,910.9269770067035,13,3,25,0,3,11,11,2,67,65,0,721,28,102,373,246,43,21,9,12,3,0,0,209,11,5,1,1299.4973769828837,111,910.9269770067035,13,3,25,0,3,11,11,2,67,65,0,0.038834951456310676,0.14147018030513175,0.5173370319001387,0.34119278779472956,0.059639389736477116,0.9701492537313433,0.42857142857142855,6.217690798961166,0.05263157894736842,0.023923444976076555,0.004784688995215311,8.206549342402734,0.11961722488038277
Miiko Martín Albornoz Inola,723,59,267,283,173,5,28,18,10,3,0,0,241,13,4,1,1784.5987524907734,148,1327.209284522751,4,0,17,0,2,4,11,1,48,45,0,723,59,267,283,173,5,28,18,10,3,0,0,241,13,4,1,1784.5987524907734,148,1327.209284522751,4,0,17,0,2,4,11,1,48,45,0,0.08160442600276625,0.36929460580912865,0.3914246196403873,0.2392807745504841,0.006915629322268326,0.9375,0.6428571428571429,7.4049740767252015,0.05394190871369295,0.016597510373443983,0.004149377593360996,8.967630300829398,0.07053941908713693
Mijat Gaćinović,178,1,23,72,83,8,10,2,8,2,2,0,62,1,0,0,359.29076676302816,40,272.4371826487011,3,0,4,0,1,1,2,0,22,21,0,178,1,23,72,83,8,10,2,8,2,2,0,62,1,0,0,359.29076676302816,40,272.4371826487011,3,0,4,0,1,1,2,0,22,21,0,0.0056179775280898875,0.12921348314606743,0.4044943820224719,0.46629213483146065,0.0449438202247191,0.9545454545454546,0.2,5.795012367145615,0.016129032258064516,0.0,0.0,6.810929566217527,0.06451612903225806
Mike-Steven Bähre,6,0,1,5,0,0,1,0,1,0,0,0,1,0,0,0,2.863564212655282,0,0.0,0,0,1,0,0,1,0,0,1,1,0,6,0,1,5,0,0,1,0,1,0,0,0,1,0,0,0,2.863564212655282,0,0.0,0,0,1,0,0,1,0,0,1,1,0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,2.863564212655282,0.0,0.0,0.0,,1.0
Milos Veljkovic,33,2,16,17,0,0,1,0,1,0,0,0,6,0,0,0,32.00834865546073,3,28.002122880630875,0,0,0,0,0,0,0,0,6,5,0,33,2,16,17,0,0,1,0,1,0,0,0,6,0,0,0,32.00834865546073,3,28.002122880630875,0,0,0,0,0,0,0,0,6,5,0,0.06060606060606061,0.48484848484848486,0.5151515151515151,0.0,0.0,0.8333333333333334,0.0,5.3347247759101215,0.0,0.0,0.0,9.334040960210292,0.0
Miloš Jojić,243,1,38,93,112,14,14,7,7,0,0,0,93,8,4,2,678.8399863921657,61,567.1938714619001,4,0,19,0,1,6,12,2,23,23,0,243,1,38,93,112,14,14,7,7,0,0,0,93,8,4,2,678.8399863921657,61,567.1938714619001,4,0,19,0,1,6,12,2,23,23,0,0.00411522633744856,0.15637860082304528,0.38271604938271603,0.4609053497942387,0.05761316872427984,1.0,0.5,7.299354692388878,0.08602150537634409,0.043010752688172046,0.021505376344086023,9.298260187900002,0.20430107526881722
Miloš Pantović,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.5656854249492322,1,0.5656854249492322,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.5656854249492322,1,0.5656854249492322,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1.0,,0.5656854249492322,0.0,0.0,0.0,0.5656854249492322,1.0
Mitchell James Langerak,5,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,13.463478492695469,1,12.345444503945574,0,0,0,0,0,0,0,0,1,1,0,5,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,13.463478492695469,1,12.345444503945574,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,,6.731739246347734,0.0,0.0,0.0,12.345444503945574,0.0
Mitchell Weiser,1238,38,269,562,407,43,97,52,45,3,5,1,478,31,15,1,3465.8705169426426,305,2790.6009138402956,16,1,59,0,7,23,29,3,120,114,0,1238,38,269,562,407,43,97,52,45,3,5,1,478,31,15,1,3465.8705169426426,305,2790.6009138402956,16,1,59,0,7,23,29,3,120,114,0,0.030694668820678513,0.2172859450726979,0.45395799676898224,0.3287560581583199,0.034733441033925685,0.95,0.5360824742268041,7.250775140047369,0.06485355648535565,0.03138075313807531,0.0020920502092050207,9.149511192919002,0.12343096234309624
Moritz Hartmann,930,14,73,349,508,69,24,11,13,4,3,0,274,12,5,2,1452.3978586665417,154,967.2191629630136,21,8,33,0,0,11,22,3,116,111,0,930,14,73,349,508,69,24,11,13,4,3,0,274,12,5,2,1452.3978586665417,154,967.2191629630136,21,8,33,0,0,11,22,3,116,111,0,0.015053763440860216,0.07849462365591398,0.37526881720430105,0.546236559139785,0.07419354838709677,0.9568965517241379,0.4583333333333333,5.300722111921685,0.043795620437956206,0.01824817518248175,0.0072992700729927005,6.2806439153442435,0.12043795620437957
Moritz Leitner,233,3,24,116,93,12,9,6,3,0,1,0,105,7,0,1,532.9163161412894,66,375.22142901985626,6,0,14,0,1,8,5,0,28,27,0,233,3,24,116,93,12,9,6,3,0,1,0,105,7,0,1,532.9163161412894,66,375.22142901985626,6,0,14,0,1,8,5,0,28,27,0,0.012875536480686695,0.10300429184549356,0.4978540772532189,0.39914163090128757,0.05150214592274678,0.9642857142857143,0.6666666666666666,5.075393487059899,0.06666666666666667,0.0,0.009523809523809525,5.685173166967519,0.13333333333333333
Mustafa Batuhan Altıntaş,12,0,0,4,8,0,0,0,0,0,0,0,3,0,0,0,17.31603409061071,1,4.883646178829917,1,0,1,0,0,1,0,0,1,1,0,12,0,0,4,8,0,0,0,0,0,0,0,3,0,0,0,17.31603409061071,1,4.883646178829917,1,0,1,0,0,1,0,0,1,1,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,,5.772011363536904,0.0,0.0,0.0,4.883646178829917,0.3333333333333333
Márcio Rafael Ferreira de Souza,673,16,177,314,182,4,21,9,12,1,4,0,267,15,1,0,1414.7106991500898,140,999.1700892875265,2,0,8,0,1,2,5,0,47,41,0,673,16,177,314,182,4,21,9,12,1,4,0,267,15,1,0,1414.7106991500898,140,999.1700892875265,2,0,8,0,1,2,5,0,47,41,0,0.0237741456166419,0.26300148588410105,0.46656760772659733,0.2704309063893016,0.005943536404160475,0.8723404255319149,0.42857142857142855,5.298541944382359,0.056179775280898875,0.003745318352059925,0.0,7.136929209196618,0.0299625468164794
Mërgim Mavraj,242,59,178,57,7,3,2,1,1,0,1,0,34,0,0,0,263.00778767427903,20,183.99549887767986,1,1,1,0,1,0,0,0,7,7,0,242,59,178,57,7,3,2,1,1,0,1,0,34,0,0,0,263.00778767427903,20,183.99549887767986,1,1,1,0,1,0,0,0,7,7,0,0.24380165289256198,0.7355371900826446,0.23553719008264462,0.028925619834710745,0.012396694214876033,1.0,0.5,7.73552316689056,0.0,0.0,0.0,9.199774943883993,0.029411764705882353
Nabil Bahoui,101,1,19,41,41,5,4,4,0,0,0,0,40,2,1,0,302.75692334222083,21,212.0116322099764,1,0,13,0,3,4,6,0,13,11,0,101,1,19,41,41,5,4,4,0,0,0,0,40,2,1,0,302.75692334222083,21,212.0116322099764,1,0,13,0,3,4,6,0,13,11,0,0.009900990099009901,0.18811881188118812,0.40594059405940597,0.40594059405940597,0.04950495049504951,0.8461538461538461,1.0,7.568923083555521,0.05,0.025,0.0,10.095792009998876,0.325
Nadiem Amiri,748,11,113,361,274,58,57,27,30,6,8,0,306,15,13,4,2443.8000896227804,179,1794.5991547622107,8,1,40,0,3,14,23,4,87,82,0,748,11,113,361,274,58,57,27,30,6,8,0,306,15,13,4,2443.8000896227804,179,1794.5991547622107,8,1,40,0,3,14,23,4,87,82,0,0.014705882352941176,0.15106951871657753,0.48262032085561496,0.3663101604278075,0.07754010695187166,0.9425287356321839,0.47368421052631576,7.986274802688825,0.049019607843137254,0.042483660130718956,0.013071895424836602,10.025693602023523,0.13071895424836602
Neven Subotić,126,25,72,50,4,1,1,1,0,0,0,0,44,1,0,0,314.1985320965308,28,218.17835071029864,0,0,0,0,0,0,0,0,1,1,0,126,25,72,50,4,1,1,1,0,0,0,0,44,1,0,0,314.1985320965308,28,218.17835071029864,0,0,0,0,0,0,0,0,1,1,0,0.1984126984126984,0.5714285714285714,0.3968253968253968,0.031746031746031744,0.007936507936507936,1.0,1.0,7.140875729466609,0.022727272727272728,0.0,0.0,7.792083953939238,0.0
Nicklas Bendtner,168,4,6,71,91,16,1,0,1,0,0,0,55,0,1,0,234.3388943050484,24,118.01321239345425,0,0,12,0,0,4,8,2,27,27,0,168,4,6,71,91,16,1,0,1,0,0,0,55,0,1,0,234.3388943050484,24,118.01321239345425,0,0,12,0,0,4,8,2,27,27,0,0.023809523809523808,0.03571428571428571,0.4226190476190476,0.5416666666666666,0.09523809523809523,1.0,0.0,4.260707169182698,0.0,0.01818181818181818,0.0,4.917217183060594,0.21818181818181817
Nico Elvedi,508,59,212,252,44,4,14,8,6,2,1,0,160,9,1,1,1219.227774591556,94,943.118816897297,2,0,11,0,3,4,4,0,18,17,0,508,59,212,252,44,4,14,8,6,2,1,0,160,9,1,1,1219.227774591556,94,943.118816897297,2,0,11,0,3,4,4,0,18,17,0,0.11614173228346457,0.41732283464566927,0.49606299212598426,0.08661417322834646,0.007874015748031496,0.9444444444444444,0.5714285714285714,7.620173591197225,0.05625,0.00625,0.00625,10.033178903162735,0.06875
Nico Schulz,23,0,0,8,15,3,4,1,3,1,2,0,11,1,2,1,145.34614857088908,9,137.68944434558784,0,0,0,0,0,0,0,0,1,1,0,23,0,0,8,15,3,4,1,3,1,2,0,11,1,2,1,145.34614857088908,9,137.68944434558784,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.34782608695652173,0.6521739130434783,0.13043478260869565,1.0,0.25,13.21328623371719,0.09090909090909091,0.18181818181818182,0.09090909090909091,15.29882714950976,0.0
Nicolai Müller,1030,14,147,545,338,60,64,32,32,3,7,0,381,37,12,2,2926.236136308031,237,2391.45589210243,13,2,58,1,1,26,31,7,97,92,0,1030,14,147,545,338,60,64,32,32,3,7,0,381,37,12,2,2926.236136308031,237,2391.45589210243,13,2,58,1,1,26,31,7,97,92,0,0.013592233009708738,0.14271844660194175,0.529126213592233,0.32815533980582523,0.05825242718446602,0.9484536082474226,0.5,7.680409806582758,0.09711286089238845,0.031496062992125984,0.005249343832020997,10.090531190305612,0.15223097112860892
Niklas Stark,369,76,196,138,35,15,7,5,2,0,0,0,92,6,0,0,850.3019399232437,48,526.504201789066,0,0,4,0,1,2,1,0,12,11,0,369,76,196,138,35,15,7,5,2,0,0,0,92,6,0,0,850.3019399232437,48,526.504201789066,0,0,4,0,1,2,1,0,12,11,0,0.20596205962059622,0.5311653116531165,0.37398373983739835,0.0948509485094851,0.04065040650406504,0.9166666666666666,0.7142857142857143,9.24241239047004,0.06521739130434782,0.0,0.0,10.968837537272208,0.043478260869565216
Niklas Süle,863,215,584,253,26,15,3,3,0,0,0,0,230,3,0,0,1602.0647872325228,114,981.1164649541826,4,1,5,2,3,2,0,0,23,23,0,863,215,584,253,26,15,3,3,0,0,0,0,230,3,0,0,1602.0647872325228,114,981.1164649541826,4,1,5,2,3,2,0,0,23,23,0,0.24913093858632676,0.6767091541135574,0.2931633835457706,0.030127462340672075,0.01738122827346466,1.0,1.0,6.965499074924012,0.013043478260869565,0.0,0.0,8.606284780299847,0.021739130434782608
Niko Bungert,435,79,258,155,22,14,3,2,1,1,0,0,99,2,0,0,932.2152130389964,69,789.3322572743467,0,0,1,1,1,0,0,0,14,13,0,435,79,258,155,22,14,3,2,1,1,0,0,99,2,0,0,932.2152130389964,69,789.3322572743467,0,0,1,1,1,0,0,0,14,13,0,0.18160919540229886,0.593103448275862,0.3563218390804598,0.05057471264367816,0.03218390804597701,0.9285714285714286,0.6666666666666666,9.416315283222186,0.020202020202020204,0.0,0.0,11.439597931512271,0.010101010101010102
Noah-Joel Sarenren-Bazee,174,0,22,51,101,31,11,10,1,0,0,0,68,8,4,1,695.6339473975225,53,646.1612614639026,6,2,16,0,1,4,11,2,11,11,0,174,0,22,51,101,31,11,10,1,0,0,0,68,8,4,1,695.6339473975225,53,646.1612614639026,6,2,16,0,1,4,11,2,11,11,0,0.0,0.12643678160919541,0.29310344827586204,0.5804597701149425,0.1781609195402299,1.0,0.9090909090909091,10.229910991140038,0.11764705882352941,0.058823529411764705,0.014705882352941176,12.191721914413257,0.23529411764705882
Nuri Şahin,249,3,30,196,23,0,2,1,1,0,0,0,99,3,0,0,458.2142653227017,56,355.6285833988053,0,0,6,0,0,5,1,0,26,26,0,249,3,30,196,23,0,2,1,1,0,0,0,99,3,0,0,458.2142653227017,56,355.6285833988053,0,0,6,0,0,5,1,0,26,26,0,0.012048192771084338,0.12048192771084337,0.7871485943775101,0.09236947791164658,0.0,1.0,0.5,4.628426922451532,0.030303030303030304,0.0,0.0,6.3505104178358085,0.06060606060606061
Odisseas Vlachodimos,18,17,18,0,0,0,0,0,0,0,0,0,8,0,0,0,28.59923929221869,2,11.762202354372954,0,0,0,0,0,0,0,0,3,3,0,18,17,18,0,0,0,0,0,0,0,0,0,8,0,0,0,28.59923929221869,2,11.762202354372954,0,0,0,0,0,0,0,0,3,3,0,0.9444444444444444,1.0,0.0,0.0,0.0,1.0,,3.5749049115273364,0.0,0.0,0.0,5.881101177186477,0.0
Oliver Baumann,357,254,354,1,2,2,0,0,0,0,0,0,170,0,0,0,831.0296666773327,129,635.5898490259292,1,0,1,1,1,0,0,0,47,47,0,357,254,354,1,2,2,0,0,0,0,0,0,170,0,0,0,831.0296666773327,129,635.5898490259292,1,0,1,1,1,0,0,0,47,47,0,0.711484593837535,0.9915966386554622,0.0028011204481792717,0.0056022408963585435,0.0056022408963585435,1.0,,4.88840980398431,0.0,0.0,0.0,4.9270530932242576,0.0058823529411764705
Oliver Hüsing,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,,,,,,,,
Oliver Sorg,452,23,182,207,63,1,15,6,9,2,0,0,161,2,1,0,975.9535910929119,88,586.9785119715243,4,0,9,0,3,4,2,0,39,35,0,452,23,182,207,63,1,15,6,9,2,0,0,161,2,1,0,975.9535910929119,88,586.9785119715243,4,0,9,0,3,4,2,0,39,35,0,0.05088495575221239,0.4026548672566372,0.4579646017699115,0.13938053097345132,0.0022123893805309734,0.8974358974358975,0.4,6.061823547160944,0.012422360248447204,0.006211180124223602,0.0,6.670210363312776,0.055900621118012424
Oscar Wendt,893,70,258,438,197,17,29,16,13,1,2,1,326,19,2,0,1960.996788321827,177,1320.2767814168064,4,0,20,0,3,11,6,1,63,57,0,893,70,258,438,197,17,29,16,13,1,2,1,326,19,2,0,1960.996788321827,177,1320.2767814168064,4,0,20,0,3,11,6,1,63,57,0,0.07838745800671892,0.2889137737961926,0.49048152295632697,0.2206047032474804,0.019036954087346025,0.9047619047619048,0.5517241379310345,6.015327571539347,0.05828220858895705,0.006134969325153374,0.0,7.459190855462183,0.06134969325153374
